meta_id,cochrane_id,review_title,comparison,outcome,intervention,control,n_studies,n_participants,pooled_effect_type,pooled_effect,ci_lower,ci_upper,p_value,i_squared,tau_squared,heterogeneity_p,model_type,subgroup_analysis,sensitivity_analysis,publication_bias_assessed,rob_overall,certainty_grade,year_updated,therapeutic_area
CMETA001,CD001234,Antibiotics for acute respiratory infections,Antibiotics vs placebo,Symptom resolution at 7 days,Amoxicillin,Placebo,12,2845,Risk Ratio,1.24,1.08,1.42,0.003,42,0.028,0.082,Random,Yes,Yes,Yes,Low,Moderate,2021,Infectious disease
CMETA002,CD002156,Statins for primary prevention of cardiovascular disease,Statins vs placebo,All-cause mortality,Statin therapy,Placebo,18,7456,Risk Ratio,0.91,0.85,0.97,0.005,0,0.000,0.654,Fixed,Yes,Yes,Yes,Low,High,2022,Cardiology
CMETA003,CD003289,Antidepressants for depression,SSRIs vs placebo,Response rate,SSRI,Placebo,32,6852,Risk Ratio,1.42,1.28,1.58,0.001,58,0.048,0.002,Random,Yes,Yes,Yes,Unclear,Moderate,2020,Psychiatry
CMETA004,CD004312,Inhaled corticosteroids for asthma,ICS vs placebo,Exacerbation rate,ICS,Placebo,22,5234,Rate Ratio,0.58,0.48,0.71,0.001,35,0.022,0.045,Random,Yes,Yes,No,Low,High,2021,Pulmonology
CMETA005,CD005445,Antiplatelet agents for stroke prevention,Aspirin vs placebo,Recurrent stroke,Aspirin,Placebo,15,12845,Risk Ratio,0.78,0.68,0.89,0.001,28,0.015,0.152,Random,Yes,Yes,Yes,Low,High,2022,Neurology
CMETA006,CD006578,Bisphosphonates for osteoporosis,Bisphosphonates vs placebo,Hip fracture,Alendronate,Placebo,8,9542,Risk Ratio,0.62,0.48,0.80,0.001,15,0.008,0.315,Fixed,Yes,Yes,No,Low,High,2021,Endocrinology
CMETA007,CD007621,ACE inhibitors for heart failure,ACE inhibitors vs placebo,All-cause mortality,Enalapril,Placebo,14,5689,Risk Ratio,0.85,0.76,0.95,0.004,22,0.012,0.218,Random,Yes,Yes,Yes,Low,High,2020,Cardiology
CMETA008,CD008754,Probiotics for antibiotic-associated diarrhea,Probiotics vs placebo,Diarrhea incidence,Lactobacillus,Placebo,28,4125,Risk Ratio,0.48,0.38,0.62,0.001,65,0.082,0.001,Random,Yes,Yes,No,Unclear,Moderate,2021,Gastroenterology
CMETA009,CD009867,Vitamin D supplementation for fracture prevention,Vitamin D vs placebo,Hip fracture,Vitamin D,Placebo,11,8456,Risk Ratio,0.94,0.82,1.08,0.385,0,0.000,0.782,Fixed,Yes,Yes,Yes,Low,Moderate,2022,Endocrinology
CMETA010,CD010923,Cognitive behavioral therapy for insomnia,CBT vs usual care,Sleep efficiency,CBT,Usual care,16,1245,Mean Difference,8.52,6.24,10.80,0.001,48,12.45,0.018,Random,Yes,Yes,No,Unclear,Moderate,2021,Psychiatry
CMETA011,CD011045,Beta-blockers for hypertension,Beta-blockers vs placebo,Systolic BP reduction,Metoprolol,Placebo,24,6852,Mean Difference,-12.4,-14.8,-10.0,0.001,72,18.25,0.001,Random,Yes,Yes,Yes,Low,High,2020,Cardiology
CMETA012,CD012178,Immunotherapy for allergic rhinitis,Immunotherapy vs placebo,Symptom score,Allergen IT,Placebo,18,2458,Std Mean Difference,-0.68,-0.85,-0.51,0.001,55,0.058,0.004,Random,Yes,Yes,No,Unclear,Moderate,2021,Allergy
CMETA013,CD013201,Anticoagulation for atrial fibrillation,DOACs vs warfarin,Stroke or systemic embolism,Apixaban,Warfarin,12,52468,Risk Ratio,0.81,0.73,0.91,0.001,18,0.008,0.265,Fixed,Yes,Yes,Yes,Low,High,2022,Cardiology
CMETA014,CD014334,Glucosamine for osteoarthritis,Glucosamine vs placebo,Pain reduction,Glucosamine,Placebo,22,3845,Mean Difference,-4.2,-6.8,-1.6,0.002,68,15.42,0.001,Random,Yes,Yes,Yes,Unclear,Low,2020,Rheumatology
CMETA015,CD015467,Zinc supplementation for the common cold,Zinc vs placebo,Duration of symptoms,Zinc,Placebo,14,1685,Mean Difference,-0.82,-1.24,-0.40,0.001,58,0.285,0.005,Random,Yes,Yes,No,Unclear,Low,2021,Infectious disease
CMETA016,CD016590,Metformin for polycystic ovary syndrome,Metformin vs placebo,Ovulation rate,Metformin,Placebo,18,1942,Risk Ratio,1.85,1.52,2.26,0.001,48,0.042,0.015,Random,Yes,Yes,Yes,Unclear,Moderate,2022,Gynecology
CMETA017,CD017623,Magnesium for migraine prophylaxis,Magnesium vs placebo,Migraine frequency,Magnesium,Placebo,9,745,Mean Difference,-1.24,-1.85,-0.63,0.001,42,0.485,0.098,Random,No,Yes,No,Unclear,Low,2020,Neurology
CMETA018,CD018756,Ivabradine for heart failure,Ivabradine vs placebo,Cardiovascular death,Ivabradine,Placebo,6,8456,Risk Ratio,0.82,0.71,0.95,0.008,0,0.000,0.892,Fixed,Yes,Yes,No,Low,High,2021,Cardiology
CMETA019,CD019889,Melatonin for sleep disorders,Melatonin vs placebo,Sleep latency,Melatonin,Placebo,12,985,Mean Difference,-7.2,-10.4,-4.0,0.001,65,18.45,0.002,Random,Yes,Yes,No,Unclear,Moderate,2022,Sleep medicine
