multilevel_id,review_title,study_id,study_author,year,n_intervention,n_control,outcome_domain,outcome_name,time_point_weeks,subgroup,effect_size_type,effect_size,variance,se,ci_lower,ci_upper,level_1_variance,level_2_variance_within_study,level_3_variance_between_study,correlation_within_study,total_outcomes_per_study,total_timepoints_per_study,total_subgroups_per_study,multilevel_structure,therapeutic_area,data_type
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,150,148,Depressive symptoms,HAM-D total score,8,Adults,Mean Difference,-4.2,0.85,0.92,-6.01,-2.39,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,150,148,Depressive symptoms,HAM-D total score,12,Adults,Mean Difference,-5.8,0.92,0.96,-7.68,-3.92,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,150,148,Depressive symptoms,HAM-D total score,24,Adults,Mean Difference,-6.4,1.05,1.02,-8.40,-4.40,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,150,148,Depressive symptoms,HAM-D total score,52,Adults,Mean Difference,-5.2,1.15,1.07,-7.30,-3.10,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,150,148,Depressive symptoms,BDI-II total score,8,Adults,Mean Difference,-6.8,1.25,1.12,-8.99,-4.61,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,150,148,Depressive symptoms,BDI-II total score,12,Adults,Mean Difference,-8.2,1.32,1.15,-10.45,-5.95,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,150,148,Quality of life,SF-36 mental component,24,Adults,Mean Difference,8.4,1.45,1.20,6.05,10.75,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY001,Smith et al,2020,75,72,Depressive symptoms,HAM-D total score,8,Elderly,Mean Difference,-3.2,1.18,1.09,-5.33,-1.07,0.42,0.28,0.15,0.6,3,4,2,outcome+time+subgroup,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY002,Johnson et al,2021,200,195,Depressive symptoms,HAM-D total score,8,Adults,Mean Difference,-5.1,0.78,0.88,-6.82,-3.38,0.42,0.28,0.15,0.6,3,3,1,outcome+time,Psychiatry,IPD
ML001,Psychological interventions for depression,STUDY002,Johnson et al,2021,200,195,Depressive symptoms,HAM-D total score,12,Adults,Mean Difference,-6.5,0.85,0.92,-8.30,-4.70,0.42,0.28,0.15,0.6,3,3,1,outcome+time,Psychiatry,IPD
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Pain intensity,VAS 0-100 back pain,4,Low intensity,Mean Difference,-12.4,4.85,2.20,-16.71,-8.09,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Pain intensity,VAS 0-100 back pain,8,Low intensity,Mean Difference,-18.2,5.12,2.26,-22.63,-13.77,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Pain intensity,VAS 0-100 back pain,12,Low intensity,Mean Difference,-22.5,5.85,2.42,-27.24,-17.76,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
ML002,Exercise interventions for chronic pain,STUDY003,Williams et al,2019,120,118,Pain intensity,VAS 0-100 back pain,24,Low intensity,Mean Difference,-20.8,6.25,2.50,-25.70,-15.90,2.25,1.85,0.75,0.55,4,6,3,outcome+time+subgroup,Pain medicine,Aggregate
