nma_id,review_title,outcome,n_studies,n_participants,n_treatments,network_geometry,reference_treatment,effect_type,treatments_in_network,direct_comparisons,indirect_comparisons,total_comparisons,consistency_model,inconsistency_p,heterogeneity_within_designs,heterogeneity_between_designs,tau_squared,overall_i_squared,best_treatment_rank1,best_treatment_prob_rank1,sucra_values,league_table_available,treatment_rankings_available,ranking_plot_available,network_plot_available,certainty_assessment,publication_year,therapeutic_area,funding_source
NMA001,Antidepressants for major depressive disorder,Response rate (50% reduction HAM-D),120,28456,21,Star,Placebo,Odds Ratio,"Placebo,Fluoxetine,Sertraline,Paroxetine,Citalopram,Escitalopram,Venlafaxine,Duloxetine,Mirtazapine,Bupropion,Agomelatine,Vortioxetine,Desvenlafaxine,Milnacipran,Reboxetine,Trazodone,Nefazodone,Fluvoxamine,Clomipramine,Amitriptyline,Imipramine",85,135,220,NMA-consistency,0.285,0.032,0.038,0.042,45,Escitalopram,0.32,"Escitalopram:0.89,Vortioxetine:0.85,Sertraline:0.82,Mirtazapine:0.79,Amitriptyline:0.76",Yes,Yes,Yes,Yes,Moderate,2018,Psychiatry,Academic
NMA002,Biologics for rheumatoid arthritis,ACR50 response,85,18245,12,Mesh,Methotrexate,Risk Ratio,"Methotrexate,Adalimumab,Etanercept,Infliximab,Certolizumab,Golimumab,Rituximab,Tocilizumab,Abatacept,Tofacitinib,Baricitinib,Upadacitinib",42,24,66,NMA-consistency,0.428,0.028,0.035,0.035,38,Upadacitinib,0.42,"Upadacitinib:0.92,Baricitinib:0.88,Tofacitinib:0.85,Tocilizumab:0.82,Adalimumab:0.78",Yes,Yes,Yes,Yes,High,2021,Rheumatology,Mixed
NMA003,Immunotherapy for advanced NSCLC,Overall survival,45,15682,8,Connected,Chemotherapy,Hazard Ratio,"Chemotherapy,Pembrolizumab,Nivolumab,Atezolizumab,Durvalumab,Cemiplimab,Pembrolizumab+chemo,Nivolumab+ipilimumab",28,8,36,NMA-consistency,0.652,0.018,0.022,0.025,28,Pembrolizumab+chemo,0.48,"Pembrolizumab+chemo:0.95,Nivolumab+ipilimumab:0.88,Pembrolizumab:0.82,Atezolizumab:0.78",Yes,Yes,Yes,Yes,High,2022,Oncology,Mixed
NMA004,Antihypertensives for essential hypertension,Systolic BP reduction mmHg,185,42856,15,Star,Placebo,Mean Difference,"Placebo,Hydrochlorothiazide,Chlorthalidone,Indapamide,Atenolol,Metoprolol,Bisoprolol,Amlodipine,Nifedipine,Lisinopril,Enalapril,Ramipril,Losartan,Valsartan,Telmisartan",95,65,160,NMA-consistency,0.185,0.042,0.048,52.5,42,Chlorthalidone,0.38,"Chlorthalidone:0.91,Indapamide:0.87,Amlodipine:0.84,Ramipril:0.81,Telmisartan:0.78",Yes,Yes,Yes,Yes,Moderate,2020,Cardiology,Academic
NMA005,Direct oral anticoagulants for atrial fibrillation,Stroke or systemic embolism,32,72456,5,Connected,Warfarin,Hazard Ratio,"Warfarin,Dabigatran 110mg,Dabigatran 150mg,Rivaroxaban,Apixaban,Edoxaban",18,4,22,NMA-consistency,0.752,0.008,0.012,0.012,15,Apixaban,0.52,"Apixaban:0.94,Dabigatran 150mg:0.88,Rivaroxaban:0.82,Edoxaban:0.78,Dabigatran 110mg:0.72",Yes,Yes,Yes,Yes,High,2019,Cardiology,Industry
NMA006,Antipsychotics for schizophrenia,Overall symptoms reduction PANSS,142,32845,18,Mesh,Placebo,Mean Difference,"Placebo,Haloperidol,Chlorpromazine,Risperidone,Olanzapine,Quetiapine,Ziprasidone,Aripiprazole,Paliperidone,Asenapine,Iloperidone,Lurasidone,Brexpiprazole,Cariprazine,Clozapine,Amisulpride,Sertindole,Zotepine",78,75,153,NMA-consistency,0.125,0.058,0.068,85.4,58,Clozapine,0.45,"Clozapine:0.92,Amisulpride:0.88,Olanzapine:0.84,Risperidone:0.80,Paliperidone:0.76",Yes,Yes,Yes,Yes,Moderate,2020,Psychiatry,Academic
NMA007,Glucose-lowering drugs for type 2 diabetes,HbA1c reduction %,95,48256,14,Star,Metformin,Mean Difference,"Metformin,Glibenclamide,Gliclazide,Glimepiride,Pioglitazone,Rosiglitazone,Sitagliptin,Saxagliptin,Linagliptin,Alogliptin,Liraglutide,Semaglutide,Exenatide,Dulaglutide",52,38,90,NMA-consistency,0.385,0.028,0.035,0.158,38,Semaglutide,0.58,"Semaglutide:0.95,Dulaglutide:0.90,Liraglutide:0.85,Pioglitazone:0.78,Exenatide:0.72",Yes,Yes,Yes,Yes,High,2021,Endocrinology,Mixed
NMA008,Treatments for opioid use disorder,Retention in treatment,68,12456,8,Connected,Placebo,Risk Ratio,"Placebo,Buprenorphine,Methadone,Naltrexone,Buprenorphine-naloxone,Slow-release morphine,Lofexidine,Clonidine",35,13,48,NMA-consistency,0.528,0.042,0.052,0.068,52,Methadone,0.42,"Methadone:0.88,Buprenorphine:0.85,Buprenorphine-naloxone:0.82,Slow-release morphine:0.75",Yes,Yes,Yes,Yes,Moderate,2019,Addiction medicine,Academic
NMA009,Biologics for psoriasis,PASI 90 response,72,18945,14,Mesh,Placebo,Risk Ratio,"Placebo,Etanercept,Adalimumab,Infliximab,Ustekinumab,Secukinumab,Ixekizumab,Brodalumab,Guselkumab,Risankizumab,Tildrakizumab,Bimekizumab,Certolizumab,Apremilast",48,43,91,NMA-consistency,0.285,0.038,0.045,0.058,48,Bimekizumab,0.48,"Bimekizumab:0.94,Risankizumab:0.92,Ixekizumab:0.88,Brodalumab:0.84,Guselkumab:0.82",Yes,Yes,Yes,Yes,High,2022,Dermatology,Mixed
NMA010,Antiplatelets for secondary stroke prevention,Recurrent stroke,58,28456,9,Star,Aspirin,Hazard Ratio,"Aspirin,Clopidogrel,Ticagrelor,Prasugrel,Aspirin+clopidogrel,Aspirin+dipyridamole,Cilostazol,Triflusal,Ticlopidine",32,14,46,NMA-consistency,0.428,0.022,0.028,0.028,32,Ticagrelor,0.38,"Ticagrelor:0.86,Aspirin+clopidogrel:0.82,Clopidogrel:0.78,Aspirin+dipyridamole:0.74",Yes,Yes,Yes,Yes,Moderate,2020,Neurology,Academic
NMA011,Targeted therapies for HER2+ breast cancer,Progression-free survival,38,8456,10,Connected,Chemotherapy,Hazard Ratio,"Chemotherapy,Trastuzumab,Pertuzumab,Lapatinib,Neratinib,T-DM1,T-DXd,Tucatinib,Margetuximab,Trastuzumab+pertuzumab",24,21,45,NMA-consistency,0.185,0.018,0.025,0.028,28,T-DXd,0.52,"T-DXd:0.95,Trastuzumab+pertuzumab:0.90,T-DM1:0.85,Tucatinib:0.80",Yes,Yes,Yes,Yes,High,2021,Oncology,Industry
NMA012,Anticoagulants for VTE treatment,Recurrent VTE,62,32456,8,Connected,Warfarin,Risk Ratio,"Warfarin,Rivaroxaban,Apixaban,Edoxaban,Dabigatran,LMWH,Fondaparinux,UFH",35,13,48,NMA-consistency,0.652,0.018,0.022,0.022,25,Apixaban,0.45,"Apixaban:0.90,Rivaroxaban:0.86,Edoxaban:0.82,Dabigatran:0.78,LMWH:0.72",Yes,Yes,Yes,Yes,High,2020,Hematology,Mixed
NMA013,Treatments for chronic hepatitis C,Sustained virological response,95,18245,16,Mesh,Placebo,Risk Ratio,"Placebo,Peginterferon+ribavirin,Sofosbuvir,Ledipasvir-sofosbuvir,Sofosbuvir-velpatasvir,Glecaprevir-pibrentasvir,Elbasvir-grazoprevir,Daclatasvir+sofosbuvir,Ombitasvir-paritaprevir-ritonavir,Simeprevir,Daclatasvir,Voxilaprevir-velpatasvir-sofosbuvir,Sofosbuvir-velpatasvir-voxilaprevir,Boceprevir,Telaprevir,Asunaprevir",52,68,120,NMA-consistency,0.125,0.048,0.058,0.075,55,Glecaprevir-pibrentasvir,0.42,"Glecaprevir-pibrentasvir:0.96,Sofosbuvir-velpatasvir-voxilaprevir:0.94,Ledipasvir-sofosbuvir:0.92,Sofosbuvir-velpatasvir:0.90",Yes,Yes,Yes,Yes,High,2019,Hepatology,Mixed
NMA014,Exercise interventions for chronic low back pain,Pain reduction VAS 0-100,78,8456,12,Star,No treatment,Mean Difference,"No treatment,Pilates,Yoga,Tai chi,McKenzie,Aerobic exercise,Resistance training,Motor control,HIIT,Aquatic exercise,Cycling,Walking",42,24,66,NMA-consistency,0.385,0.158,0.185,12.5,48,Pilates,0.35,"Pilates:0.85,McKenzie:0.82,Motor control:0.78,Resistance training:0.74,Yoga:0.70",Yes,Yes,Yes,Yes,Moderate,2021,Physical therapy,Academic
NMA015,Pharmacotherapy for smoking cessation,Continuous abstinence at 6 months,142,52845,11,Mesh,Placebo,Risk Ratio,"Placebo,Nicotine gum,Nicotine patch,Nicotine lozenge,Nicotine inhaler,Bupropion,Varenicline,Cytisine,Nortriptyline,Clonidine,E-cigarettes",78,27,105,NMA-consistency,0.285,0.042,0.052,0.068,45,Varenicline,0.48,"Varenicline:0.92,Cytisine:0.88,Bupropion:0.82,Nicotine patch:0.78,E-cigarettes:0.74",Yes,Yes,Yes,Yes,High,2020,Addiction medicine,Academic
NMA016,Biologics for inflammatory bowel disease,Clinical remission,52,12456,10,Connected,Placebo,Risk Ratio,"Placebo,Infliximab,Adalimumab,Certolizumab,Golimumab,Vedolizumab,Ustekinumab,Tofacitinib,Ozanimod,Risankizumab",28,17,45,NMA-consistency,0.528,0.038,0.048,0.058,42,Risankizumab,0.42,"Risankizumab:0.90,Ustekinumab:0.86,Vedolizumab:0.82,Infliximab:0.78,Tofacitinib:0.74",Yes,Yes,Yes,Yes,Moderate,2022,Gastroenterology,Mixed
NMA017,Antivirals for influenza,Time to symptom resolution days,85,18456,8,Star,Placebo,Mean Difference,"Placebo,Oseltamivir,Zanamivir,Peramivir,Laninamivir,Baloxavir,Umifenovir,Favipiravir",48,10,58,NMA-consistency,0.428,0.358,0.425,0.485,38,Baloxavir,0.48,"Baloxavir:0.88,Zanamivir:0.84,Oseltamivir:0.80,Peramivir:0.76,Laninamivir:0.72",Yes,Yes,Yes,Yes,Moderate,2019,Infectious disease,Mixed
NMA018,Treatments for generalized anxiety disorder,Response rate,95,15845,14,Mesh,Placebo,Risk Ratio,"Placebo,Pregabalin,Venlafaxine,Duloxetine,Escitalopram,Paroxetine,Sertraline,Buspirone,Agomelatine,Quetiapine,Hydroxyzine,Opipramol,Benzodiazepines,CBT",52,39,91,NMA-consistency,0.185,0.048,0.058,0.075,52,Duloxetine,0.38,"Duloxetine:0.88,Pregabalin:0.85,Venlafaxine:0.82,Escitalopram:0.78,CBT:0.74",Yes,Yes,Yes,Yes,High,2021,Psychiatry,Academic
NMA019,Anticoagulants for cancer-associated thrombosis,Recurrent VTE,42,8456,7,Connected,LMWH,Hazard Ratio,"LMWH,Rivaroxaban,Apixaban,Edoxaban,Warfarin,Fondaparinux,Dalteparin",24,6,30,NMA-consistency,0.752,0.012,0.018,0.018,18,Apixaban,0.52,"Apixaban:0.92,Rivaroxaban:0.88,Edoxaban:0.84,LMWH:0.78,Dalteparin:0.74",Yes,Yes,Yes,Yes,High,2020,Oncology,Mixed
NMA020,Therapies for ADHD in children,ADHD symptoms reduction,112,22456,13,Star,Placebo,Standardized Mean Difference,"Placebo,Methylphenidate,Dexamphetamine,Lisdexamfetamine,Atomoxetine,Guanfacine,Clonidine,Bupropion,Modafinil,Behavioral therapy,Cognitive training,Neurofeedback,Omega-3",62,40,102,NMA-consistency,0.285,0.158,0.185,0.245,58,Lisdexamfetamine,0.42,"Lisdexamfetamine:0.90,Methylphenidate:0.88,Dexamphetamine:0.84,Atomoxetine:0.78,Guanfacine:0.72",Yes,Yes,Yes,Yes,Moderate,2022,Pediatrics,Academic
NMA021,Immunosuppressants for lupus nephritis,Complete renal response,38,4856,9,Connected,Corticosteroids,Risk Ratio,"Corticosteroids,Cyclophosphamide,Mycophenolate,Azathioprine,Tacrolimus,Cyclosporine,Belimumab,Rituximab,Voclosporin",22,14,36,NMA-consistency,0.428,0.042,0.052,0.068,45,Voclosporin,0.45,"Voclosporin:0.88,Mycophenolate:0.84,Tacrolimus:0.80,Belimumab:0.76,Cyclophosphamide:0.70",Yes,Yes,Yes,Yes,Moderate,2021,Nephrology,Mixed
NMA022,Treatments for chronic migraine,Monthly migraine days reduction,62,12845,11,Mesh,Placebo,Mean Difference,"Placebo,Topiramate,Propranolol,Amitriptyline,Valproate,Erenumab,Galcanezumab,Fremanezumab,Eptinezumab,Botulinum toxin A,Candesartan",35,20,55,NMA-consistency,0.185,0.358,0.425,2.85,48,Erenumab,0.38,"Erenumab:0.90,Fremanezumab:0.88,Galcanezumab:0.86,Botulinum toxin A:0.82,Eptinezumab:0.78",Yes,Yes,Yes,Yes,High,2020,Neurology,Mixed
NMA023,Antiplatelet regimens for ACS,MACE at 1 year,85,42856,10,Connected,Aspirin,Hazard Ratio,"Aspirin,Clopidogrel,Ticagrelor,Prasugrel,Aspirin+clopidogrel,Aspirin+ticagrelor,Aspirin+prasugrel,Ticagrelor monotherapy,Clopidogrel monotherapy,Dual pathway inhibition",48,17,65,NMA-consistency,0.285,0.018,0.025,0.028,28,Aspirin+ticagrelor,0.48,"Aspirin+ticagrelor:0.92,Aspirin+prasugrel:0.88,Dual pathway inhibition:0.84,Aspirin+clopidogrel:0.78",Yes,Yes,Yes,Yes,High,2022,Cardiology,Industry
NMA024,Treatments for hepatocellular carcinoma,Overall survival,48,8456,11,Star,Best supportive care,Hazard Ratio,"Best supportive care,Sorafenib,Lenvatinib,Regorafenib,Cabozantinib,Atezolizumab+bevacizumab,Nivolumab,Pembrolizumab,Ramucirumab,Durvalumab+tremelimumab,TACE",28,27,55,NMA-consistency,0.385,0.028,0.038,0.042,38,Atezolizumab+bevacizumab,0.52,"Atezolizumab+bevacizumab:0.94,Durvalumab+tremelimumab:0.88,Lenvatinib:0.82,Cabozantinib:0.78,Sorafenib:0.72",Yes,Yes,Yes,Yes,Moderate,2021,Oncology,Mixed
NMA025,JAK inhibitors for rheumatoid arthritis,ACR70 response,52,12456,7,Connected,Methotrexate,Risk Ratio,"Methotrexate,Tofacitinib,Baricitinib,Upadacitinib,Filgotinib,Peficitinib,Decernotinib",28,8,36,NMA-consistency,0.528,0.035,0.042,0.048,35,Upadacitinib,0.58,"Upadacitinib:0.94,Baricitinib:0.88,Filgotinib:0.82,Tofacitinib:0.78,Peficitinib:0.72",Yes,Yes,Yes,Yes,High,2021,Rheumatology,Mixed
NMA026,Treatments for moderate-to-severe ulcerative colitis,Clinical remission at week 8,68,15845,12,Mesh,Placebo,Risk Ratio,"Placebo,Infliximab,Adalimumab,Golimumab,Vedolizumab,Ustekinumab,Tofacitinib,Ozanimod,Filgotinib,Upadacitinib,Etrasimod,S1P modulators",38,28,66,NMA-consistency,0.285,0.042,0.052,0.068,48,Upadacitinib,0.45,"Upadacitinib:0.92,Tofacitinib:0.88,Vedolizumab:0.84,Ustekinumab:0.80,Infliximab:0.76",Yes,Yes,Yes,Yes,High,2022,Gastroenterology,Mixed
NMA027,Antifungals for invasive aspergillosis,Mortality at 12 weeks,32,3456,6,Star,Amphotericin B,Risk Ratio,"Amphotericin B,Voriconazole,Isavuconazole,Posaconazole,Caspofungin,Micafungin",18,7,25,NMA-consistency,0.652,0.022,0.028,0.035,28,Isavuconazole,0.48,"Isavuconazole:0.88,Voriconazole:0.85,Posaconazole:0.80,Caspofungin:0.74,Micafungin:0.70",Yes,Yes,Yes,Yes,Moderate,2020,Infectious disease,Academic
NMA028,Treatments for osteoporosis,Vertebral fracture reduction,95,28456,15,Mesh,Placebo,Risk Ratio,"Placebo,Alendronate,Risedronate,Ibandronate,Zoledronate,Denosumab,Teriparatide,Abaloparatide,Raloxifene,Bazedoxifene,Romosozumab,Strontium ranelate,Calcitonin,Lasofoxifene,Odanacatib",52,53,105,NMA-consistency,0.185,0.028,0.038,0.045,42,Romosozumab,0.42,"Romosozumab:0.92,Denosumab:0.90,Zoledronate:0.86,Teriparatide:0.82,Abaloparatide:0.78",Yes,Yes,Yes,Yes,High,2021,Endocrinology,Mixed
NMA029,Therapies for relapsing-remitting MS,Annualized relapse rate,72,18245,16,Connected,Interferon beta-1a,Rate Ratio,"Interferon beta-1a,Interferon beta-1b,Glatiramer acetate,Natalizumab,Fingolimod,Dimethyl fumarate,Teriflunomide,Alemtuzumab,Ocrelizumab,Ofatumumab,Siponimod,Ozanimod,Cladribine,Ponesimod,Ublituximab,Diroximel fumarate",42,62,104,NMA-consistency,0.125,0.042,0.052,0.068,52,Alemtuzumab,0.35,"Alemtuzumab:0.90,Ocrelizumab:0.88,Cladribine:0.86,Natalizumab:0.82,Ofatumumab:0.78",Yes,Yes,Yes,Yes,High,2022,Neurology,Mixed
NMA030,Treatments for chronic obstructive pulmonary disease,COPD exacerbations,128,42856,18,Star,Placebo,Rate Ratio,"Placebo,Tiotropium,Glycopyrronium,Umeclidinium,Aclidinium,Formoterol,Salmeterol,Indacaterol,Vilanterol,Olodaterol,Budesonide-formoterol,Fluticasone-salmeterol,Beclometasone-formoterol,Tiotropium-olodaterol,Umeclidinium-vilanterol,Glycopyrronium-indacaterol,Fluticasone-umeclidinium-vilanterol,Budesonide-glycopyrronium-formoterol",68,85,153,NMA-consistency,0.185,0.048,0.058,0.075,55,Fluticasone-umeclidinium-vilanterol,0.38,"Fluticasone-umeclidinium-vilanterol:0.92,Budesonide-glycopyrronium-formoterol:0.90,Tiotropium-olodaterol:0.86,Glycopyrronium-indacaterol:0.82",Yes,Yes,Yes,Yes,High,2021,Pulmonology,Mixed
