nma_id,study_id,author,year,journal,pmid,country,treatment_arm1,treatment_arm2,n_arm1,n_arm2,outcome_type,events_arm1,events_arm2,mean_arm1,sd_arm1,mean_arm2,sd_arm2,hazard_ratio,hr_ci_lower,hr_ci_upper,follow_up_months,age_mean,age_sd,percent_male,percent_white,disease_severity,comorbidities,rob_random_sequence,rob_allocation_concealment,rob_blinding_participants,rob_blinding_outcome,rob_incomplete_outcome,rob_selective_reporting,rob_other_bias,rob_overall,industry_funding,multi_center,comparison_type
NMA001,NRCT0001,Murphy,2019,JAMA Dermatol,35830605,Denmark,Treatment C,Treatment A,710,747,continuous,,,61.4,23.8,60.9,14.6,,,,12,45.6,12.6,38,55,Moderate-severe,Diabetes,low,low,low,low,low,low,low,low,yes,no,Placebo-controlled
NMA001,NRCT0002,Harris,2023,Lancet Respir Med,26066099,Australia,Treatment C,Treatment A,250,365,continuous,,,59.0,23.1,74.6,12.4,,,,24,64.0,12.8,38,59,Moderate-severe,Diabetes,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0003,Murphy,2011,JACC,25077550,France,Treatment A,Treatment C,703,723,continuous,,,63.6,15.8,73.7,12.4,,,,12,47.7,10.9,48,86,Moderate,Multiple,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA001,NRCT0004,White,2020,Lancet Psychiatry,28187588,USA,Treatment C,Treatment C,525,251,binary,117,108,,,,,,,,12,65.8,13.3,66,77,Mild,HTN,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA001,NRCT0005,Mitchell,2022,Ann Rheum Dis,26272137,South Korea,Treatment B,Treatment A,709,527,binary,182,195,,,,,,,,48,47.5,12.2,60,78,Moderate,HTN,low,low,low,low,low,low,unclear,unclear,no,yes,Placebo-controlled
NMA001,NRCT0006,Miller,2012,Circulation,31135430,Belgium,Treatment A,Treatment A,214,356,survival,,,,,,,0.74,0.68,0.81,48,58.3,11.9,47,69,Mild,HTN,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0007,Evans,2020,Lancet Oncol,31769937,USA,Treatment C,Treatment A,580,305,binary,194,116,,,,,,,,48,66.4,12.4,45,83,Moderate-severe,None,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0008,Evans,2019,J Clin Oncol,27841243,Italy,Treatment E,Treatment B,587,587,binary,241,88,,,,,,,,36,65.9,9.1,47,81,Severe,HTN,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0009,Rodriguez,2019,Lancet,25417586,Denmark,Treatment A,Treatment E,342,448,binary,186,246,,,,,,,,24,42.5,12.3,54,72,Severe,CVD,low,low,low,low,low,low,low,low,no,yes,Placebo-controlled
NMA001,NRCT0010,Johnson,2013,Lancet Respir Med,25345886,Spain,Treatment D,Treatment B,407,543,binary,72,250,,,,,,,,24,58.6,11.4,54,88,Severe,None,low,unclear,low,low,low,low,low,unclear,no,yes,Placebo-controlled
NMA001,NRCT0011,Allen,2019,Lancet Oncol,29371317,UK,Treatment B,Treatment A,601,310,continuous,,,75.7,19.4,74.7,13.6,,,,12,49.5,8.6,36,72,Severe,CVD,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA001,NRCT0012,Peterson,2020,Gut,22398718,Denmark,Treatment B,Treatment B,534,731,survival,,,,,,,0.63,0.57,0.73,48,63.0,13.6,48,59,Mild,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA001,NRCT0013,Adams,2015,JACC,35142798,Belgium,Treatment E,Treatment E,779,797,binary,422,158,,,,,,,,24,53.5,12.6,44,75,Moderate,CVD,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
NMA001,NRCT0014,Cooper,2017,Lancet Oncol,21552356,Sweden,Treatment A,Treatment C,795,261,survival,,,,,,,0.73,0.65,0.84,24,62.1,12.0,63,67,Moderate,HTN,low,low,low,low,low,low,low,low,no,yes,Head-to-head
NMA001,NRCT0015,Martinez,2022,Lancet Psychiatry,36266444,Germany,Treatment D,Treatment D,784,406,binary,233,136,,,,,,,,36,60.7,13.8,52,55,Mild,None,low,low,low,low,low,low,low,low,yes,yes,Head-to-head
NMA001,NRCT0016,Jones,2021,Lancet Psychiatry,29768322,Brazil,Treatment B,Treatment D,448,458,continuous,,,75.8,12.9,54.2,17.7,,,,48,68.0,10.9,65,84,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Placebo-controlled
