study_id,author,year,journal,pmid,intervention,comparator,n_intervention,n_comparator,events_intervention,events_comparator,follow_up_months,age_mean,percent_male,rob_random,rob_allocation,rob_blinding,rob_attrition,rob_reporting,rob_overall
RCT001,Pemberton,2019,NEJM,31234567,Pembrolizumab 200mg,Chemotherapy,297,296,89,120,24,64.2,68,low,low,low,low,low,low
RCT002,Martinez,2020,Lancet,32567890,Nivolumab 3mg/kg,Docetaxel,287,284,95,131,24,63.8,72,low,low,low,low,low,low
RCT003,Chen,2018,JCO,29876543,Atezolizumab 1200mg,Best supportive care,205,205,78,101,18,65.1,65,low,unclear,low,low,low,unclear
RCT004,Schmidt,2021,JAMA,33456789,Durvalumab 10mg/kg,Placebo,476,473,142,189,28,62.9,71,low,low,low,low,low,low
RCT005,Anderson,2019,BMJ,30987654,Pembrolizumab 2mg/kg,Standard care,154,151,52,67,18,66.3,58,low,low,unclear,low,low,unclear
RCT006,Thompson,2020,NEJM,31876543,Ipilimumab + nivolumab,Nivolumab,360,362,118,142,24,61.7,74,low,low,low,low,low,low
RCT007,Rodriguez,2018,Lancet,29345678,Camrelizumab 200mg,Docetaxel,298,298,101,134,20,64.5,69,low,low,low,unclear,low,unclear
RCT008,Liu,2021,JCO,34123456,Tislelizumab 200mg,Docetaxel,334,332,112,148,24,63.2,75,low,low,low,low,low,low
RCT009,Williams,2019,JAMA,30456789,Atezolizumab + chemo,Chemotherapy alone,400,402,134,172,24,65.8,66,low,unclear,low,low,low,unclear
RCT010,Garcia,2020,BMJ,32234567,Pembrolizumab + chemo,Chemotherapy,267,266,89,118,24,64.1,70,low,low,low,low,low,low
RCT011,Johnson,2018,NEJM,28987654,Nivolumab 240mg,Erlotinib,292,290,96,127,20,66.2,63,low,low,low,low,unclear,unclear
RCT012,Brown,2021,Lancet,33789012,Durvalumab 20mg/kg,Placebo,357,359,115,152,28,62.5,72,low,low,low,low,low,low
RCT013,Davis,2019,JCO,31345678,Pembrolizumab 200mg,Docetaxel,345,343,112,149,24,63.9,67,low,unclear,low,low,low,unclear
RCT014,Miller,2020,JAMA,32876543,Atezolizumab 1200mg,Docetaxel,287,285,98,131,22,65.3,69,low,low,low,low,low,low
RCT015,Wilson,2018,BMJ,29567890,Nivolumab + ipilimumab,Chemotherapy,396,396,125,162,24,61.8,73,low,low,unclear,low,low,unclear
RCT016,Moore,2021,NEJM,34567891,Pembrolizumab 10mg/kg,Placebo,245,247,82,107,20,64.7,64,low,low,low,unclear,low,unclear
RCT017,Taylor,2019,Lancet,31678901,Tislelizumab 200mg,Chemotherapy,332,334,109,145,24,63.4,71,low,unclear,low,low,low,unclear
RCT018,Anderson2,2020,JCO,32987654,Durvalumab 10mg/kg,Placebo,475,476,148,191,28,62.1,70,low,low,low,low,low,low
RCT019,Thomas,2018,JAMA,29234567,Atezolizumab + bev,Chemotherapy,356,358,119,158,24,64.9,68,low,low,low,low,unclear,unclear
RCT020,Jackson,2021,BMJ,33234567,Pembrolizumab 200mg,Chemotherapy,278,279,94,125,24,65.2,66,low,low,low,low,low,low
RCT021,White,2019,NEJM,30678901,Nivolumab 3mg/kg,Docetaxel,290,292,99,134,24,63.7,72,unclear,low,low,low,low,unclear
